book	book_id	chapter	verse	text
3 Yôhanes	64	1	1	Me mañ mut, me ntilna nugwéha le Gayô, nu me ngwés toi.
3 Yôhanes	64	1	2	A nugwéha, me nsoohe le mam momasôna ma ke loñge inyu yoñ, ni le u ba mbôô, ndik kiki mam ma nke loñge inyu yoñ nano.
3 Yôhanes	64	1	3	Inyule me bi kon maséé iloo hihéga ngéda lôk kéé i bi lo, i bok mbôgi le u ntéñbe ni maliga, kiki u nke ni bisu i kil ikété maliga.
3 Yôhanes	64	1	4	Me gwé bé maséé mape ma ma nloo mana le: Me nok le bon bem ba ntéñbe i kil ikété maliga.
3 Yôhanes	64	1	5	A nugwéha, u ñunda maliga moñ ikété mam u mbôñôl lôk kéé, to hala kiki ba yéne we bakén.
3 Yôhanes	64	1	6	Ba bi bok mbôgi inyu gwéha yoñ i bisu bi likoda. Soho, huuha bo mu njel yap i nya i nlémél Nyambe.
3 Yôhanes	64	1	7	Inyule inyu jôl jé nyen ba bi nyodi, ba yoñ bé yom to yada yak bôt ba matén.
3 Yôhanes	64	1	8	Jon di yé nyégsaga i leege i nya bôt ini loñge, inyu boñ le di yila baso bagwelnson ikété maliga.
3 Yôhanes	64	1	9	Me bi tilna likoda ngim jam, ndi Diôtréfé nu a ngwés yééne bisu ipôla yap, a neebe bé yom yo ki yo i nlôl i béhni lôñni lipém.
3 Yôhanes	64	1	10	Inyu hala nyen ibale me nlo, m’a yelel minson a mboñ, kiki a ntjam bibéba bi bipôdôl ikolba bés. Ndi a nsôk bé ha, a ntjél leege lôk kéé lôñni lipém; Yak i bôt ba nsômbôl leege bo, a noode kéñ bo njel, a noodege ki pémés bo i likoda.
3 Yôhanes	64	1	11	A nugwéha, u nigle bañ mam mabe, ndi nigle mam malam. I mut a mboñ loñge a nlôl ni Nyambe, i mut a mboñ béba a bi tehe bé Nyambe.
3 Yôhanes	64	1	12	Lôk kéé yosôna i mbok mbôgi ilam inyu Démétriô, yak maliga momede ma mbok mbôgi ilam inyu yé. Ni maliga, yak bés di mbok mbôgi inyu yé, u nyi ki le mbôgi di mbok i yé maliga.
3 Yôhanes	64	1	13	Me bak me gwé ngandak mam i tilna we, ndi me nsômbôl bé ke ni bisu i tilna we ni saô lôñni tinti.
3 Yôhanes	64	1	14	Ndi me mbot ñem le m’a tehe we ndék ngéda, ni le d’a kwel i mbombom. Nsañ u ba ni we. Mawanda ma nyéga we. Yégna me mawanda, hiki wada ni jôl jé.
